disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
5193,,,,,202450.63,,,2020-07-21T00:00:00.000Z,,0,1fd1261ed79cc6c34f955453d6d59bbb,2020-07-21T11:55:32.534Z,5aa2d588cb4f0f7020b18905
5198,,,,,5442160.3,3250.64,,2020-07-21T00:00:00.000Z,,0,5806f8a330ffa53e98d8597664e58c17,2020-07-21T11:55:32.538Z,5aa2d588cb4f0f7020b18906
5218,,,,,,,,,,0,07a5218a86cae864983c30d3a467d20b,2020-06-02T13:22:22.557Z,5aa2d588cb4f0f7020b1890a
5223,,,,,27927.06,12147.86,,2020-07-21T00:00:00.000Z,,0,ccd93eb249a952bb6292fb44427fdf82,2020-07-21T11:55:32.594Z,5aa2d588cb4f0f7020b1890b
5179,,,,,81038.27,8820.76,,2020-07-21T00:00:00.000Z,,0,6646f99679a34ce9f0fdbb3c85b64c25,2020-07-21T11:55:32.521Z,5aa2d588cb4f0f7020b1890f
5184,,,,,87939.35,,,2020-07-21T00:00:00.000Z,,386477.36,86e62279b4ac05f79914c260e82c7360,2020-07-21T11:55:32.526Z,5aa2d588cb4f0f7020b18910
5204,,,,,185752.83,11595.59,,2020-07-21T00:00:00.000Z,,0,ecb71dd92c35160e7b0c0503ebbd74dd,2020-07-21T11:55:32.543Z,5aa2d588cb4f0f7020b18914
5209,,,,,,,,,,0,d8a0ff41a4eb3941a3a783ba949f2e58,2020-06-02T13:22:22.551Z,5aa2d588cb4f0f7020b18915
5229,,,,,0,,,2020-07-21T00:00:00.000Z,,883313.23,03cc2c270794891a80daba52adc3c598,2020-07-21T11:55:32.595Z,5aa2d588cb4f0f7020b18919
5166,,,,,1801399.51,294307.01,,2020-07-21T00:00:00.000Z,,0,c53f0d6b34604dc5cad516a652facce6,2020-07-21T11:55:32.475Z,5aa2d588cb4f0f7020b1891a
5186,,,,,5335398.46,178142.59,,2020-07-21T00:00:00.000Z,,0,b29b04836acd2ac21154e05e2b36ddab,2020-07-21T11:55:32.528Z,5aa2d588cb4f0f7020b1891e
5191,,,,,395017.27,,,2020-07-21T00:00:00.000Z,,0,62e94b73699bd019f4905c8cda96c70a,2020-07-21T11:55:32.532Z,5aa2d588cb4f0f7020b1891f
5211,,,,,,,,,,0,91a03260276db44535922b224504a3c3,2020-06-02T13:22:22.552Z,5aa2d588cb4f0f7020b18923
5216,,,,,,,,,,0,cf61f0bbc59df623dddb531856cad516,2020-06-02T13:22:22.556Z,5aa2d588cb4f0f7020b18924
5150,,,,,1474993.55,342138.43,,2020-07-21T00:00:00.000Z,,0,fcc827d0cf7e7a1f90a9df811361a963,2020-07-21T11:55:32.462Z,5aa2d588cb4f0f7020b188f8
5153,,,,,740809,1862.8,,2020-07-21T00:00:00.000Z,,0,bd90a57233a13731e4193113aadf321e,2020-07-21T11:55:32.465Z,5aa2d588cb4f0f7020b188fd
5178,,,,,1587486.27,129742.88,,2020-07-21T00:00:00.000Z,,1276932.75,b0889e304e76377347434b16b9a6cd77,2020-07-21T11:55:32.526Z,5aa2d588cb4f0f7020b18902
